Security Description (Fund Name),CUSIP,Ticker Symbol,Reclass (R),Corrected (C),Payable Date,NRA Exempt Income Div (Attributed to Interest Income),NRA Exempt Short-Term Capital Gain,FIRPTA Eligible Short-Term Capital Gain,FIRPTA Eligible Long-Term Capital Gain
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,02/06/2024,$0.24 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,03/06/2024,$0.23 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,04/04/2024,$0.25 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,05/06/2024,$0.25 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,06/05/2024,$0.25 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,07/03/2024,$0.24 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,08/05/2024,$0.26 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,09/05/2024,$0.26 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,10/03/2024,$0.25 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,11/05/2024,$0.27 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,12/04/2024,$0.26 , $-       , $-       , $-       
Vanguard Intermediate-Term Corporate Bond ETF,92206C870,VCIT,,,12/27/2024,$0.27 , $-       , $-       , $-       
TOTALS,92206C870,VCIT,,,,$3.02 , $-       , $-       , $-       
