Type,$/Share,Payable date,Record date,Ex-dividend date,Distribution yield
Dividend,0.2732,03/06/2024,03/04/2024,03/01/2024,！
Dividend,0.281,02/06/2024,02/02/2024,02/01/2024,3.36%
Dividend,0.2754,12/28/2023,12/26/2023,12/22/2023,！
Dividend,0.2613,12/06/2023,12/04/2023,12/01/2023,！
Dividend,0.2754,11/06/2023,11/02/2023,11/01/2023,！
Dividend,0.264,10/05/2023,10/03/2023,10/02/2023,！
Dividend,0.2582,09/07/2023,09/05/2023,09/01/2023,！
Dividend,0.2594,08/04/2023,08/02/2023,08/01/2023,！
Dividend,0.2478,07/07/2023,07/05/2023,07/03/2023,！
Dividend,0.251,06/06/2023,06/02/2023,06/01/2023,！
Dividend,0.2334,05/04/2023,05/02/2023,05/01/2023,！
Dividend,0.2497,04/06/2023,04/04/2023,04/03/2023,！
Dividend,0.2131,03/06/2023,03/02/2023,03/01/2023,！
Dividend,0.2355,02/06/2023,02/02/2023,02/01/2023,！
Dividend,0.2303,12/29/2022,12/27/2022,12/23/2022,！
Dividend,0.2168,12/06/2022,12/02/2022,12/01/2022,！
Dividend,0.2087,11/04/2022,11/02/2022,11/01/2022,！
Dividend,0.2106,10/06/2022,10/04/2022,10/03/2022,！
Dividend,0.2067,09/07/2022,09/02/2022,09/01/2022,！
